Bathtub,குளியல் தொட்டி
Purple heart,கருஞ்சிவப்பு இதயம்
Video camera,காணொலி படக்கருவி
Evergreen tree,பசுமைமாறா மரம்
Stuffed flatbread,திணித்த ரொட்டி
Bed,படுக்கை
Face with head-bandage,தலையில் கட்டுப்போட்ட முகம்
Ferry,பயணப்படகு
Clown face,கோமாளி முகம்
Thought balloon,எண்ண பலூன்
Bow and arrow,வில் மற்றும் அம்பு
Doughnut,வடை வடிவ ரொட்டி
Card index,குறியீட்டு அட்டை
Peanuts,வேர்க்கடலைகள்
Telephone,தொலைபேசி
Closed mailbox with raised flag,கொடி ஏற்றிய மூடிய அஞ்சல் பெட்டி
Wastebasket,குப்பைக்கூடை
Sunglasses,கருப்புக் கண்ணாடி
Headphone,தலைப்பேசி
Seat,இருக்கை
Ringed planet,வளையமுள்ள கோள்
Nut and bolt,மரையாணியும் திருகும்
Olive,இடலை
Teddy bear,பொம்மைக் கரடி
Pig nose,பன்றி மூக்கு
Money-mouth face,பண வாய் முகம்
Curling stone,பனி நழுவல் கல்
Control knobs,கட்டுப்பாடு குமிழிகள்
Pineapple,அன்னாசி
Carp streamer,மீன் கொடி
Vertical traffic light,செங்குத்து போக்குவரத்து விளக்கு
Safety pin,ஊக்கு
Exploding head,வெடிக்கும் தலை
Rosette,ரோசா இதழ் உரு
Roasted sweet potato,வறுத்த சக்கரை வள்ளி கிழங்கு
Sled,பனிச்சறுக்கு வண்டி
Safety vest,உடற் கவசம்
Smiling cat with heart-eyes,இதய உரு கண்களுடன் புன்னகை பூனை
Notebook,குறிப்பேடு
Credit card,கடன் அட்டை
Horizontal traffic light,கிடைநிலை போக்குவரத்து விளக்கு
Panda,பாண்டா கரடி
Passenger ship,பயணக் கப்பல்
Dashing away,அவசர ஓட்டம்
Sponge,நுரைப்பஞ்சு
Two-thirty,இரண்டு முப்பது
Two-hump camel,இரண்டு திமில் ஒட்டகம்
Billed cap,அலகு குல்லாய்
Kangaroo,கங்காரு
Graduation cap,பட்டமளிப்பு குல்லாய்
Hindu temple,இந்து கோயில்
Badger,பேட்சர் மரநாய்
Hamburger,பர்கர்
Tear-off calendar,கிழிக்கும் நாள்காட்டி
Soccer ball,காற்பந்து
Fortune cookie,நல்வாய்ப்பு மாச்சில்லு
Sad but relieved face,வருத்தமான ஆனால் ஆறுதலடைந்த முகம்
Zebra,வரிக்குதிரை
Open file folder,திறந்த கோப்புறை
Bicycle,மிதிவண்டி
Snail,நத்தை
Shaved ice,பனித்தூள்
Water buffalo,எருமை
Running shoe,ஓடும் காலணி
Cat face,பூனை முகம்
Ping pong,மேடை வரிப்பந்து
Microphone,ஒலிவாங்கி
Hammer and wrench,சுத்தியலும் திருகாணிச்சாவியும்
Star,விண்மீன்
Post office,அஞ்சலகம்
Muted speaker,அடக்கிய ஒலிபெருக்கி
Yawning face,கொட்டாவி முகம்
Green apple,பச்சை ஆப்பிள்
Rat,எலி
Oncoming bus,வருகின்ற பேருந்து
Weary cat,களைத்த பூனை
Petri dish,பெத்திரிக்கிண்ணம்
Chart decreasing,இறங்கும் கட்ட வரைபடம்
Disappointed face,ஏமாந்த முகம்
Onion,வெங்காயம்
Oncoming taxi,வருகின்ற வாடகையுந்து
Hammer and pick,சுத்தியலும் கோடரியும்
Crayon,வண்ணக்கோல்
High voltage,உயர் மின்னழுத்தம்
Woman’s sandal,பெண்ணின் செருப்பு
