a bit	கொஞ்சம்
AbiWord	அபிவேர்ட்
access	அணுகல்
a couple more	மேலும் ஓரிரண்டு
a couple of	இரண்டு மூன்று
activist	செயல் திறனாளர்
admire	மெச்சு
Adobe	அடோபி
advertising	விளம்பரம்
advocate	ஆதரவாளர்
agile	தகவெளிமை
alchemist	ரசவாதி
Alfresco	ஆல்ஃப்ரெஸ்கோ
algorithm	வினைச்சரம்
all but necessitate	அவசியமாகிறது
Android	ஆண்ட்ராய்டு
applet	குறுஞ்செயலி
applicant	விண்ணப்பதாரர்
application	செயலி
approach	அணுகுமுறை
app	செயலி
arms-length	நேரடி ஈடுபாடு இல்லாத
asset	முன்வாய்ப்பு
asynchronous	ஒத்தியங்கா
Audacity	ஆடாசிட்டி
augment	வலுவாக்கு
Austin	ஆஸ்டின்
authentication	சான்றுறுதி
automation	தானியக்கம்
autonomy	சுய உரிமை
awesome	அசத்தல்
a year on	ஒரு ஆண்டு ஆனபின்
backup	காப்புநகல்
backup	காப்புப்படி
Bay Area	விரிகுடா பகுதி
Bazaar	சந்தை
beginner	கற்றுக்குட்டி
beginner	பயிலுநர்
being a pain	பெரும் தொல்லை
benevolent dictatorship	கருணையான சர்வாதிகாரம்
Benevolent dictator	கருணையான சர்வாதிகாரி
best practice	சிறந்த நடைமுறை
Be vocal	அமைதியாகிவிட வேண்டாம்
big data	பெருந்தரவு
big iron	வழங்கி போன்ற திறன்மிகு கணினி
black box	ஒளி ஊடுருவாத
black box	வெளியிலிருந்து பார்த்தால் எதுவுமே தெரியாத
blog	வலைப்பதிவு
blueprint	செயல்திட்டம்
bot	தானியங்கி
bounce off	விட்டுவிட்டு சென்றுவிடு
breeze	மிக எளிது
browser	உலாவி
bug tracker	வழுத்தடம் கண்காணிப்பு
bug tracker	வழுத்தளம்
bug	வழு
build traction	வாங்கக்கூடியவர்களிடம் பரவச்செய்
build	கட்டியெழுப்பு
bureaucratic	அதிகாரத்துவ
burgeon	விரைவாக வளர்
by its nature	இயல்பாகவே
By virtue of	வேண்டியிருப்பதால்
calculus	இயற்கணிதம்
calendar	நாட்காட்டி
California	கலிபோர்னியா
campus	வளாகம்
candidate	தேர்வர்
capital	மூலதனம்
career	வேலைவாழ்க்கை
cartoon	கேலிச்சித்திரம்
catalyzer	ஊக்கி
Cathedral	பேராலயம்
cause	இலக்கு
challenge	சவால்
characteristic	சிறப்பியல்பு
checking	சரிபார்த்தல்
check out	குறித்து வெளியெடு
citizen	குடிமகன்
classics	செவ்வியல்
click	சொடுக்கு
client	வாடிக்கையாளர்
clone	நகலி
cloud computing	மேகக் கணிமை
CMS	உள்ளடக்க மேலாண்மைக் கட்டகம்
code	குறியீடு
co-educational	இணை கல்வி
Cofounder	நிறுவனரில் ஒருவர்
cognition	அறியும் ஆற்றல்
collaboration	இணைவு ஆக்கம்
column	பத்தி
command-and-control	கட்டளை மற்றும் கட்டுப்பாடு
commitment	அர்ப்பணிப்பு
commitment	ஈடுபாடு
committer	நேரடியாக மூல நிரலை மாற்றும் உரிமை பெற்றவர்
communication	தகவல் பரிமாற்றம்
community	சமூகம்
completely lost	தலைகால் புரியவில்லை
complimentary	துணை
computer science program	கணினி அறிவியல் துறை
computer	கணினி
Conclusion	முடிவுரை
Conference	மாநாடு
configuration	கட்டமைப்பு
connections you make	அறிமுகம் ஆனவர்கள்
connection	தொடர்பு
consensus	கருத்தொற்றுமை
constructive	ஆக்கப்பூர்வமான
consumer	நுகர்வோர்
contact	தொடர்பு கொள்
content management system	உள்ளடக்க மேலாண்மை அமைப்பு
continuous integration	தொடர்ச்சியான ஒருங்கிணைப்பு
contribute	பங்களி
contributor	பங்களிப்பாளர்
convention	மாநாடு
co-ordinator	ஒருங்கிணைப்பாளர்
copyright	பதிப்புரிமை
copy	நகலெடு
corporation	பெருநிறுவனம்
cost-effective	பயனுள்ள செலவு
counterbalance	எதிரீடு
creativity	படைப்பாற்றல்
critical	மிக முக்கியமானது
cross examination	குறுக்கு விசாரணை
culture	கலாச்சாரம்
culture	பண்பாடு
customize	விருப்பமைவு செய்
cutting edge technology	அதிநவீன தொழில்நுட்பம்
cyborg	பாதி இயந்திரம் பாதி மனிதன்
data center	தரவு மையம்
datacenter	தரவு மையம்
data	தரவு
dedicate	அர்ப்பணி
default	இயல்புநிலை
definition	வரையறை
democracy	மக்களாட்சி
design	வடிவமைப்பு
desktop publishing	மேசைப் பதிப்பு
desktop	காரியத்தளம்
developer	நிரலாளர்
diagnose	மூலகாரணம் அறி
diagram	விளக்கப்படம்
digital marketing	இணைய விற்பனை
Digital Rights Management	எண்முறை உரிமைகள் மேலாண்மை
discipline	கட்டுப்பாடு
distilled	காய்ச்சி வடிகட்டிய
distraction	கவனச் சிதறல்
distract	திசை திருப்பு
distribution	விநியோகம்
distro	விநியோகம்
distro	வெளியீடு
diversity	பன்முகத்தன்மை
documentary film	ஆவணப்படம்
documentation	ஆவணங்கள்
Document Management System	ஆவண மேலாண்மை அமைப்பு
download	பதிவிறக்கம்
down the garden path	தவறான வழி
down-to-earth	யதார்த்தம்
driven	உந்தப்படு
Drupal	ட்ரூபல்
economic	பொருளாதார
ecosystem	சுற்றுச்சூழல்
edge case	வழக்கத்திற்கு மாறான பயன்முறை
educator	பயிற்றுநர்
Efficiency	பயன்திறன்
email	மின்னஞ்சல்
emerge	மேலெழு
Empirical	அனுபவபூர்வம்
employ yourself	சுயதொழிலைத் தொடங்கு
encourage	ஊக்குவி
engineering	பொறியியல்
engineer	பொறியாளர்
enhance	மேம்படுத்து
enough eyeballs	அனேகம் பேர்
enrich	செறிவூட்டு
enthusiast	ஆர்வலர்
entrepreneur	தொழில்முனைவர்
entry barrier	நுழைவுத் தடை
environment	சூழல்
equation	சமன்பாடு
Evangelist	ஆர்வப் பரப்புநர்
even remotely	சிறிதளவாவது
event handler	நிகழ்வுக் கையாளி
event	நிகழ்வு
evolution	பரிணாம வளர்ச்சி
example	எடுத்துக்காட்டு
Exchange	எக்ஸ்சேஞ்ச்
exchange	பரிமாற்றம்
expectation	எதிர்பார்ப்பு
expert	நிபுணர்
expert	வல்லுநர்
extend	நீட்டி
extension	நீட்சி
eZ Publish	ஈசி பப்ளிஷ்
fad	மோகம்
feature	அம்சம்
feedback	பின்னூட்டம்
fell short	சரியாகச் செய்யவில்லை
finding your footing	கால் ஊன்றுவது
firewall	தீயரண்
first-hand	நேரடியாக
fix	திருத்தம்
flexibility	நெகிழ்வு
flourish	தழைத்தோங்கு
flyer	துண்டு வெளியீடு
forking	கவைத்தல்
forum	மன்றம்
founder	நிறுவனர்
free	கட்டற்ற
Frequently Asked Questions	அடிக்கடி கேட்கப்படும் கேள்விகள்
frequent	அடிக்கடி
from scratch	தொடக்கத்திலிருந்து
gain traction	வாடிக்கையாளர்கள் நாட்டம் கொள்ளச் செய்
gaming console	விளையாட்டு முனையம்
get the word out	தெரியப்படுத்து
giant	ஜாம்பவான்
gigabit	கிகாபிட்
GIMP	கிம்ப்
GitHub	கிட்ஹப்
Git	கிட்
goal	இலக்கு
governance model	ஆட்சி முறை மாதிரி
governance	ஆட்சி
graduate student	முதுகலை மாணவர்
grammar	இலக்கணம்
graphical user interface	வரைவியல் பயனர் இடைமுகம்
graph	வரைபடம்
groupware	குழு மென்பொருள்
guide	கையேடு
guide	வழிகாட்டி
GUI	வரைகலை பயனர் இடைமுகம்
hackathon	கூட்டு நிரலாக்க நிகழ்ச்சி
hackathon	நெடுநிரலாக்கம்
hacker	கொந்தர்
hand off	கைமாற்றம்
handout	கைப் பிரசுரம்
hands-on exercise	கைப்பயிற்சி
hard coding	குறுக்கு வழியில் நிரல் எழுதல்
hard-pressed to find	காண்பது கடினம்
hardware	வன்பொருள்
harness	பயன்படுத்து
Heck	அவ்வளவு ஏன்
hobby	பொழுதுபோக்கு
human resources	மனித வளம்
idiot box	தொலைக்காட்சி
impact	தாக்கம்
impersonation	ஆள்மாறாட்டம்
implement	செயல்படுத்து
incubation period	காப்புக்காலம்
India	இந்தியா
inevitably	தவிர்க்க முடியாமல்
information technology	தகவல் தொழில்நுட்பம்
infrastructure	உள்கட்டமைப்பு
infrastructure	உள்கட்டுமானம்
Inkscape	இங்க்ஸ்கேப்
innovator	புதுமைப் புனைவாளர்
input method	உள்ளீட்டு முறை
insight	உள்நோக்கு
insist	வலியுறுத்து
inspect	ஆய்வு செய்
install	நிறுவு
instructor	பயிற்றுநர்
integrate	ஒருங்கிணை
intention	உள்நோக்கம்
interaction	இடைத்தொடர்பு
interactivity	ஊடாடல்
interesting	கவனிக்கத்தக்கது
interesting	சுவாரசியம்
interface	இடைமுகம்
Internet of Things	பொருட்களின் இணையம்
Internet	இணையம்
interview	பேட்டி
involve	ஈடுபடு
in your best interest	உங்களுடைய நலனுக்கு மிக முக்கியம்
IRC	இணையத் தொடர் அரட்டை
is already kicking ass	அலட்டலாக
issue	சிக்கல்
issue	பிரச்சினை
IT	தகவல் தொழில்நுட்பம்
Java	ஜாவா
JBoss	ஜேபாஸ்
jerk	இணக்கமற்ற நபர்
Joomla	ஜூம்லா
jQuery	ஜேகுவரி
kernel	கருநிரல்
kickstart	தொடங்கு
kid-friendly	குழந்தைகளுக்கு ஒத்த
know-how	வழிவகை
label	அடையாளச் சீட்டு
laptop	மடிக்கணினி
launchpad	ஏவுதளம்
lazy consensus	ஓய்வான கருத்தொற்றுமை
lead	 காரீயம்
learning curve	கற்றல் சாய்வு
legally	சட்டபூர்வமாக
LibreOffice	லிபர்ஓபிஸ்
license	உரிமம்
like-minded	ஒத்த நோக்கமுடைய
like to hang out with	இருக்க விரும்பு
Linus Torvalds	லினஸ் டோர்வால்ட்ஸ்
Linux	லினக்ஸ்
log in	புகுபதிகை
logistics	தளவாடங்கள்
logo	இலச்சினை
logo	குறியம்
lot to take in	திணற வைக்கும்
low-key	அடக்கி வாசிப்பது
machine learning	இயந்திரக் கற்றல்
macroeconomics	நாட்டு அளவிலான பொருளாதாரம்
macroeconomics	பேரினப் பொருளியல்
Mac	மேக்
made me look good at my job	நிறுவனத்தில் நல்ல பெயர் வாங்க உதவியது
